name,codename,architecture,coresTotal,coresPhysical,speedGzMin,speedGzMax,socket,technologyNodeUnit,technologyNodeValue,cacheL3Unit,cacheL3Size,thermalDesignPowerUnit,thermalDesignPowerValue,released
Core i7-12800HE,Alder Lake-H,x86_64,20,14,2.4,4.6,BGA 1744,nanometers,10,MB,24,watts,45,2022-01-01
Core i7-12800HX,Alder Lake-HX,x86_64,24,16,2,4.8,BGA 1964,nanometers,10,MB,25,watts,55,2022-05-10
Core i7-1280P,Alder Lake-P,x86_64,20,14,1.8,4.8,BGA 1744,nanometers,10,MB,24,watts,28,2022-02-23
Core i7-12850HX,Alder Lake-HX,x86_64,24,16,2.1,4.8,BGA 1964,nanometers,10,MB,25,watts,55,2022-05-10
Core i7-13700K,Raptor Lake-S,x86_64,24,16,3.4,5.4,1700,nanometers,10,MB,30,watts,125,2022-09-27
Core i9-12900,Alder Lake-S,x86_64,24,16,2.4,5.1,1700,nanometers,10,MB,30,watts,65,2022-01-04
Core i9-12900E,Alder Lake-S,x86_64,24,16,2.3,5,1700,nanometers,10,MB,30,watts,65,2022-01-04
Core i9-12900H,Alder Lake-H,x86_64,20,14,2.5,5,BGA 1744,nanometers,10,MB,24,watts,45,2022-01-04
Core i9-12900HK,Alder Lake-H,x86_64,20,14,2.5,5,BGA 1744,nanometers,10,MB,24,watts,45,2022-01-04
Core i9-12900HX,Alder Lake-HX,x86_64,24,16,2.3,5,BGA 1964,nanometers,10,MB,30,watts,55,2022-05-10
Core i9-12900KS,Alder Lake-S,x86_64,24,16,3.4,5.5,1700,nanometers,10,MB,30,watts,150,2022-04-05
Core i9-12900T,Alder Lake-S,x86_64,24,16,1.4,4.9,1700,nanometers,10,MB,30,watts,35,2022-01-04
Core i9-12900TE,Alder Lake-S,x86_64,24,16,1.1,4.8,1700,nanometers,10,MB,30,watts,35,2022-01-04
Core i9-12950HX,Alder Lake-HX,x86_64,24,16,2.3,5,BGA 1964,nanometers,10,MB,30,watts,55,2022-05-10
Core i9-13900,Raptor Lake-S,x86_64,32,24,2,5.6,1700,nanometers,10,MB,36,watts,125,2022
Core i9-13900K,Raptor Lake-S,x86_64,32,24,3,5.8,1700,nanometers,10,MB,36,watts,125,2022-09-27
Pentium 8500,Alder Lake-U,x86_64,6,5,1,4.4,BGA 1781,nanometers,10,MB,8,watts,9,2022-02-23
Pentium 8505,Alder Lake-U,x86_64,6,5,1.2,4.4,BGA 1744,nanometers,10,MB,8,watts,15,2022-02-23
Pentium 8505 (IPU),Alder Lake-U,x86_64,6,5,1.2,4.4,BGA 1744,nanometers,10,MB,8,watts,15,2022-02-23
Pentium Gold G7400,Alder Lake-S,x86_64,4,2,3.7,3.7,1700,nanometers,10,MB,6,watts,46,2022-01-04
Pentium Gold G7400E,Alder Lake-S,x86_64,4,2,3.6,3.6,1700,nanometers,10,MB,6,watts,46,2022-01-04
Pentium Gold G7400T,Alder Lake-S,x86_64,4,2,3.1,3.1,1700,nanometers,10,MB,6,watts,35,2022-01-04
Pentium Gold G7400TE,Alder Lake-S,x86_64,4,2,3,3,1700,nanometers,10,MB,6,watts,35,2022-01-04
